seed,asset-count,random-score,ga-score,greedy-score,evolved-score,greedy-minus-random,greedy-minus-ga,evolved-minus-greedy
19,100,0.7116327242762501,0.8739092889050575,0.9982054274679871,0.9982054274679871,0.286572703191737,0.12429613856292965,0.0
19,250,0.6306505623702692,0.8220560480257235,0.9993273682679256,0.9993273682679256,0.3686768058976564,0.17727132024220205,0.0
19,500,0.6042294533325111,0.7935582503564852,0.9996746779764404,0.9996746779764404,0.3954452246439293,0.2061164276199552,0.0
20,50,0.7501472673268748,0.9109696457045027,0.9966879184774353,0.9966879184774353,0.24654065115056056,0.08571827277293265,0.0
20,100,0.689619062686795,0.8676140027397908,0.9982054274679871,0.9982054274679871,0.30858636478119217,0.1305914247281963,0.0
20,250,0.6250920105855838,0.8188094079443282,0.9993273682679256,0.9993273682679256,0.37423535768234173,0.18051796032359735,0.0
20,500,0.6011269180223301,0.7834764734573606,0.9996746779764404,0.9996746779764404,0.3985477599541103,0.21619820451907978,0.0
21,50,0.7562214842377545,0.9088517689107208,0.9966879184774353,0.9966879184774353,0.24046643423968084,0.08783614956671448,0.0
21,100,0.7054868625212498,0.8569614442869083,0.9982054274679871,0.9982054274679871,0.2927185649467373,0.14124398318107878,0.0
21,250,0.6312392940550298,0.8096364041107629,0.9993273682679256,0.9993273682679256,0.3680880742128958,0.1896909641571627,0.0
21,500,0.6026917454278443,0.7958039082994205,0.9996746779764404,0.9996746779764404,0.39698293254859607,0.2038707696770199,0.0
22,50,0.760819258726942,0.9100975671347395,0.9966879184774353,0.9966879184774353,0.23586865975049331,0.08659035134269577,0.0
22,100,0.7024139926998558,0.8682550564974074,0.9982054274679871,0.9982054274679871,0.2957914347681313,0.1299503709705797,0.0
22,250,0.6387748053057614,0.8168147015329408,0.9993273682679256,0.9993273682679256,0.3605525629621642,0.18251266673498479,0.0
22,500,0.6068122161104832,0.7924148116972685,0.9996746779764404,0.9996746779764404,0.3928624618659572,0.20725986627917192,0.0
